# ProbeDetuning, Atom number (mean), Atom number (std)
-3.100000000000000000e+01,9.059823105002573485e-01,1.144482855364281626e-03
-2.900000000000000000e+01,8.837930671199263344e-01,7.649512969590377409e-03
-2.700000000000000000e+01,8.744028858257549830e-01,5.641633699621673159e-03
-2.500000000000000000e+01,8.657568878788612921e-01,7.638264267891547998e-03
-2.300000000000000000e+01,8.431441118674107837e-01,1.894736570267452347e-03
-2.100000000000000000e+01,8.034871099662588279e-01,6.230600657399720799e-03
-1.900000000000000000e+01,7.565176604749230815e-01,2.413277412713465964e-03
-1.700000000000000000e+01,7.104866421701202528e-01,8.524409979668745585e-03
-1.500000000000000000e+01,6.463134350962551622e-01,9.685809931811006912e-03
-1.300000000000000000e+01,5.624911512451818973e-01,8.537273774343878685e-04
-1.100000000000000000e+01,4.518087258550302354e-01,4.404247086251367183e-03
-9.000000000000000000e+00,3.269802118547117109e-01,4.861586580601096053e-03
-7.000000000000000000e+00,1.969708148773173240e-01,9.719021952964188027e-03
-6.750000000000000000e+00,1.859998043708217530e-01,1.780246126278084429e-03
-6.500000000000000000e+00,1.691131070569232009e-01,3.500782293285320534e-04
-6.250000000000000000e+00,1.643679171391059513e-01,1.075117548188869732e-03
-6.000000000000000000e+00,1.517438950497340677e-01,5.158497878688925176e-03
-5.750000000000000000e+00,1.388925784578193545e-01,1.757728104964662030e-05
-5.500000000000000000e+00,1.320743523135180508e-01,4.604154239215285660e-04
-5.250000000000000000e+00,1.165683202570334254e-01,8.713843462063129708e-03
-5.000000000000000000e+00,1.060067369464577081e-01,3.727258057119244017e-03
-4.750000000000000000e+00,9.684526746311425405e-02,2.573281289255255344e-03
-4.500000000000000000e+00,9.361881344634999380e-02,3.182425596978816218e-04
-4.250000000000000000e+00,8.845786913756617520e-02,1.841630113074976816e-03
-4.000000000000000000e+00,8.434446325884391304e-02,2.998106488235646738e-03
-3.750000000000000000e+00,7.558213218331680250e-02,1.781234377732573981e-04
-3.500000000000000000e+00,7.231791168429743677e-02,3.343785600933985025e-04
-3.250000000000000000e+00,6.721028083143680554e-02,2.634329097568194333e-04
-3.000000000000000000e+00,6.079150071883213796e-02,2.520877893270677406e-03
-2.750000000000000000e+00,5.690307265252231295e-02,2.801918057527549161e-03
-2.500000000000000000e+00,5.525367128523533955e-02,2.520515972232986041e-03
-2.250000000000000000e+00,4.878335449363781218e-02,2.033813285190130826e-05
-2.000000000000000000e+00,5.554138168323344976e-02,1.294036604317760908e-03
-1.750000000000000000e+00,5.252760192447889637e-02,1.680643325037214919e-04
-1.500000000000000000e+00,4.983717857085757930e-02,1.930190362810071947e-03
-1.250000000000000000e+00,5.112729337225590392e-02,1.507314648079953467e-03
-1.000000000000000000e+00,4.149048355131489119e-02,6.766405638210480633e-04
-7.500000000000000000e-01,4.222170670318318303e-02,3.155213387601774055e-03
-5.000000000000000000e-01,4.240234442790221520e-02,2.400681795117660944e-03
-2.500000000000000000e-01,3.996763297151439964e-02,6.304644445987508949e-04
0.000000000000000000e+00,3.293495839281902066e-02,7.131419701989993865e-03
2.500000000000000000e-01,2.958293656096635041e-02,4.246581020444690352e-03
5.000000000000000000e-01,3.872797465766705804e-02,1.368558887099836918e-03
7.500000000000000000e-01,3.666147835598182469e-02,2.384254612810231960e-03
1.000000000000000000e+00,4.028879545542152218e-02,1.722946089395133162e-04
1.250000000000000000e+00,3.634482936175745943e-02,2.756161371598744858e-03
1.500000000000000000e+00,3.845278237621430062e-02,1.565334873389192388e-03
1.750000000000000000e+00,3.736768122597210195e-02,1.853899884582666663e-03
2.000000000000000000e+00,3.883678756727498155e-02,2.798958441625684634e-03
2.250000000000000000e+00,4.180111303721709831e-02,7.182853656748228177e-04
2.500000000000000000e+00,4.249556743551510807e-02,9.267131113910552498e-04
2.750000000000000000e+00,3.914697973082437860e-02,3.386777984226319038e-03
3.000000000000000000e+00,4.492526371032731086e-02,1.769109162030754745e-03
3.250000000000000000e+00,4.201896512401612216e-02,2.183803677751779831e-03
3.500000000000000000e+00,4.271568599302456859e-02,5.646285052117762382e-04
3.750000000000000000e+00,4.055903505422854549e-02,5.822311879961687003e-03
4.000000000000000000e+00,4.901024653814797793e-02,7.488804707617181811e-04
4.250000000000000000e+00,5.189724302092743602e-02,6.101555081327099395e-03
4.500000000000000000e+00,5.171103015047545659e-02,3.966073417924799449e-04
4.750000000000000000e+00,5.562194943243110867e-02,1.599615970567024731e-03
5.000000000000000000e+00,6.556387266883728637e-02,3.038479325607093551e-03
5.250000000000000000e+00,7.155210102247715198e-02,9.769755065122398552e-04
5.500000000000000000e+00,8.057560219010037605e-02,8.702545998109934011e-04
5.750000000000000000e+00,9.059832000714562739e-02,5.880848531924845468e-04
6.000000000000000000e+00,9.996458795361132244e-02,2.772234941434456590e-03
6.250000000000000000e+00,1.131159935196652810e-01,6.738289933138734422e-03
6.500000000000000000e+00,1.289189299060385929e-01,1.454498821653632534e-03
6.750000000000000000e+00,1.395425244096470396e-01,6.248647560321007877e-05
7.000000000000000000e+00,1.648731385124814208e-01,1.228705076457013712e-02
9.000000000000000000e+00,3.218822855571018549e-01,1.087854542048016793e-02
1.100000000000000000e+01,4.570168982002489333e-01,1.026327508189986415e-02
1.300000000000000000e+01,5.682362380331257290e-01,4.075747997977385850e-03
1.500000000000000000e+01,6.616686758986315420e-01,8.228373849264003503e-03
1.700000000000000000e+01,7.256089601776400944e-01,2.360931378487196586e-03
1.900000000000000000e+01,7.728344071798125547e-01,4.095543482383057210e-03
2.100000000000000000e+01,8.153864326908419891e-01,6.119000091765858240e-03
2.300000000000000000e+01,8.389149885728244271e-01,5.410621035554175062e-03
2.500000000000000000e+01,8.536173204020166549e-01,6.861675941744138640e-03
2.700000000000000000e+01,8.761401597286286869e-01,3.154708775964465417e-03
2.900000000000000000e+01,8.831975475166387035e-01,3.266674808072578262e-03
3.100000000000000000e+01,9.008886294341120760e-01,9.644503257371206395e-03
